pid,navd88_match_line,navd88_ft,ngvd29_flag,ngvd29_ft,error
MW0608,"NAVD 88
 ORTHO HEIGHT - 1400.370 (meters) 4594.38 (feet) ADJUSTED",4594.38,True,4590.49,
MW0606,"NAVD 88
 ORTHO HEIGHT - 1416.366 (meters) 4646.86 (feet) POSTED",4646.86,True,4642.85,
MW0604,"NAVD 88
 ORTHO HEIGHT - 1416.574 (meters) 4647.54 (feet) ADJUSTED",4647.54,True,4643.64,
MW0601,"NAVD 88
 ORTHO HEIGHT - 1419.193 (meters) 4656.14 (feet) ADJUSTED",4656.14,True,4652.22,
MX0052,"NAVD 88
 ORTHO HEIGHT - 1428.513 (meters) 4686.71 (feet) POSTED",4686.71,True,4682.67,
MX0028,"NAVD 88
 ORTHO HEIGHT - 1422.993 (meters) 4668.60 (feet) ADJUSTED",4668.6,True,4664.68,
MX0031,"NAVD 88
 ORTHO HEIGHT - 1508.649 (meters) 4949.63 (feet) POSTED",4949.63,True,4945.51,
MX0049,"NAVD 88
 ORTHO HEIGHT - 1461.316 (meters) 4794.33 (feet) ADJUSTED",4794.33,True,4790.35,
MX0041,"NAVD 88
 ORTHO HEIGHT - 1543.026 (meters) 5062.41 (feet) ADJUSTED",5062.41,True,5058.34,
MX0039,"NAVD 88
 ORTHO HEIGHT - 1542.847 (meters) 5061.82 (feet) ADJUSTED",5061.82,True,5057.77,
MX0036,,,,,
DY1806,"NAVD 88
 ORTHO HEIGHT - 1.94 (+/-2cm) 6.4 (feet) VERTCON3",6.4,False,3.8,
DY1088,"NAVD 88
 ORTHO HEIGHT - 3.00 (+/-2cm) 9.8 (feet) VERTCON3",9.8,False,7.4,
DY1089,"NAVD 88
 ORTHO HEIGHT - 3.09 (+/-2cm) 10.1 (feet) VERTCON3",10.1,False,7.7,
DY1087,,,,,
DY1086,"NAVD 88
 ORTHO HEIGHT - 3.13 (+/-2cm) 10.3 (feet) VERTCON3",10.3,False,7.8,
DY2478,,,,,
DY0314,,,,,
DY0280,"NAVD 88
 ORTHO HEIGHT - 3.97 (+/-2cm) 13.0 (feet) VERTCON3",13.0,False,10.41,
DY1083,"NAVD 88
 ORTHO HEIGHT - 4.131 (meters) 13.55 (feet) ADJUSTED",13.55,False,11.13,
DY1128,,,,,
DY1322,"NAVD 88
 ORTHO HEIGHT - 4.42 (+/-2cm) 14.5 (feet) VERTCON3",14.5,False,12.11,
DY1267,,,,,
DY0022,,,,,
DY0494,,,,,
DY1187,"NAVD 88
 ORTHO HEIGHT - 5.301 (meters) 17.39 (feet) ADJUSTED",17.39,False,15.18,
EW3974,"NAVD 88
 ORTHO HEIGHT - 5.773 (meters) 18.94 (feet) ADJUSTED",18.94,False,16.67,
EW3994,,,,,
EW3989,"NAVD 88
 ORTHO HEIGHT - 6.38 (+/-2cm) 20.9 (feet) VERTCON3",20.9,False,18.52,
DY1252,,,,,
